timestamp,open,high,low,close,volume
1754233200000,113792.29000000,113966.00000000,113674.05000000,113959.06000000,216.51596000
1754236800000,113959.06000000,114026.82000000,113775.55000000,113995.16000000,246.66079000
1754240400000,113995.15000000,114165.09000000,113953.97000000,114117.42000000,198.95641000
1754244000000,114117.42000000,114460.15000000,114060.36000000,114380.40000000,361.64858000
1754247600000,114380.41000000,114799.97000000,114259.95000000,114313.19000000,447.69931000
1754251200000,114313.19000000,114467.00000000,114163.49000000,114423.77000000,200.81959000
1754254800000,114423.77000000,114521.68000000,114363.46000000,114435.47000000,223.44858000
1754258400000,114435.46000000,114612.24000000,114066.56000000,114324.83000000,237.81327000
1754262000000,114324.84000000,114500.00000000,114176.00000000,114208.80000000,218.11723000
1754265600000,114208.81000000,114914.29000000,114107.60000000,114899.87000000,508.31725000
1754269200000,114899.86000000,115000.00000000,114620.14000000,114671.96000000,423.44241000
1754272800000,114671.96000000,114877.98000000,114418.68000000,114797.90000000,351.22547000
1754276400000,114797.90000000,114799.00000000,114527.73000000,114570.61000000,242.02073000
1754280000000,114570.61000000,114653.51000000,114345.74000000,114383.55000000,269.38623000
1754283600000,114383.54000000,114418.75000000,114188.00000000,114391.26000000,265.57526000
1754287200000,114391.26000000,114482.49000000,114148.58000000,114423.76000000,331.16254000
1754290800000,114423.77000000,114778.50000000,114402.45000000,114652.97000000,355.14904000
1754294400000,114652.98000000,114750.00000000,114360.99000000,114546.25000000,411.15429000
1754298000000,114546.25000000,114744.20000000,114302.29000000,114325.92000000,278.67574000
1754301600000,114325.92000000,114506.16000000,114234.58000000,114251.83000000,264.56078000
1754305200000,114251.83000000,114517.55000000,114217.97000000,114493.09000000,234.25413000
1754308800000,114493.09000000,114535.48000000,114327.95000000,114444.36000000,221.84590000
1754312400000,114444.36000000,114913.89000000,114121.00000000,114913.88000000,839.66562000
1754316000000,114913.89000000,115466.00000000,114652.96000000,114736.78000000,1386.32387000
1754319600000,114736.78000000,115022.97000000,114560.33000000,114826.00000000,437.62587000
1754323200000,114826.01000000,115405.22000000,114826.00000000,115301.00000000,612.68493000
1754326800000,115301.00000000,115720.00000000,115148.08000000,115193.41000000,546.48208000
1754330400000,115193.41000000,115312.76000000,114913.88000000,114957.64000000,298.66935000
1754334000000,114957.63000000,115134.46000000,114732.65000000,114777.62000000,385.27982000
1754337600000,114777.62000000,115076.34000000,114616.33000000,114811.96000000,363.41688000
1754341200000,114811.95000000,115258.62000000,114810.75000000,115111.09000000,229.85173000
1754344800000,115111.09000000,115325.88000000,115086.72000000,115325.88000000,225.85251000
1754348400000,115325.88000000,115340.00000000,115046.67000000,115055.03000000,185.05673000
1754352000000,115055.03000000,115127.81000000,114840.00000000,114886.96000000,347.41151000
1754355600000,114886.97000000,115046.68000000,114695.18000000,114708.11000000,309.55292000
1754359200000,114708.11000000,114827.79000000,114614.94000000,114719.27000000,238.27103000
1754362800000,114719.27000000,114737.82000000,114256.85000000,114256.85000000,503.68849000
1754366400000,114256.85000000,114426.65000000,114149.95000000,114338.06000000,577.56577000
1754370000000,114338.07000000,114487.25000000,114239.87000000,114405.99000000,337.63342000
1754373600000,114406.00000000,114500.66000000,114105.71000000,114178.63000000,389.84213000
1754377200000,114178.64000000,114395.30000000,113725.72000000,113969.70000000,820.50191000
1754380800000,113969.70000000,114540.00000000,113928.87000000,114281.09000000,460.31877000
1754384400000,114281.09000000,114792.72000000,114281.08000000,114694.76000000,482.30599000
1754388000000,114694.76000000,115096.73000000,114586.73000000,114841.27000000,438.67573000
1754391600000,114841.28000000,114972.00000000,114750.00000000,114827.07000000,212.26183000
1754395200000,114827.07000000,114893.13000000,113500.01000000,113937.35000000,935.92869000
1754398800000,113937.35000000,114573.17000000,113868.00000000,114381.43000000,634.93972000
1754402400000,114380.75000000,114386.37000000,112650.00000000,113037.12000000,2125.43779000
1754406000000,113037.12000000,113249.11000000,112692.30000000,112934.00000000,894.16220000
1754409600000,112934.00000000,113367.31000000,112815.68000000,113175.73000000,505.57628000
1754413200000,113175.73000000,113661.96000000,113096.00000000,113640.01000000,359.20465000
1754416800000,113640.01000000,113653.93000000,113261.79000000,113644.71000000,313.62971000
1754420400000,113644.72000000,113763.27000000,113407.35000000,113616.52000000,256.11010000
1754424000000,113616.51000000,113989.97000000,113494.47000000,113690.71000000,242.46818000
1754427600000,113690.71000000,113862.45000000,113569.07000000,113606.53000000,183.41893000
1754431200000,113606.52000000,113989.40000000,113304.00000000,113961.25000000,268.24607000
1754434800000,113961.25000000,114228.88000000,113918.40000000,114129.75000000,205.63896000
1754438400000,114129.75000000,114139.38000000,113748.67000000,113879.70000000,295.34760000
1754442000000,113879.69000000,113945.14000000,113588.77000000,113821.21000000,292.50885000
1754445600000,113820.77000000,113833.88000000,113491.76000000,113623.22000000,206.78627000
1754449200000,113623.23000000,113658.13000000,113400.00000000,113509.97000000,266.89492000
1754452800000,113509.98000000,113582.71000000,113355.13000000,113429.21000000,248.98133000
1754456400000,113429.21000000,114417.02000000,113384.81000000,114148.01000000,602.70557000
1754460000000,114148.01000000,114200.00000000,113933.23000000,114084.93000000,265.65128000
1754463600000,114084.92000000,114300.00000000,114019.66000000,114227.91000000,319.69253000
1754467200000,114227.90000000,114250.00000000,113727.57000000,113948.22000000,382.35629000
1754470800000,113948.23000000,114368.31000000,113906.96000000,114093.15000000,340.97337000
1754474400000,114093.15000000,114226.69000000,113899.20000000,114067.20000000,335.97303000
1754478000000,114067.20000000,114404.23000000,114007.85000000,114226.69000000,220.99495000
1754481600000,114226.68000000,114333.59000000,113809.02000000,113914.31000000,306.06988000
1754485200000,113914.31000000,114390.88000000,113579.90000000,114270.09000000,671.19500000
1754488800000,114270.09000000,115200.00000000,113869.88000000,115187.96000000,1041.66895000
1754492400000,115187.96000000,115515.09000000,114832.38000000,115413.87000000,1490.74630000
1754496000000,115413.87000000,115477.06000000,114942.18000000,115132.49000000,642.38859000
1754499600000,115132.49000000,115514.28000000,115024.00000000,115500.00000000,392.98209000
1754503200000,115500.00000000,115716.00000000,115301.27000000,115423.22000000,479.34282000
1754506800000,115423.23000000,115525.48000000,115118.80000000,115259.99000000,213.24559000
1754510400000,115260.00000000,115260.00000000,114987.68000000,115045.64000000,210.50571000
1754514000000,115045.65000000,115221.14000000,114793.01000000,115048.78000000,185.66057000
